Model,Train Accuracy,Test Accuracy,F1 Score (Test),Best Params
Random Forest,0.9221739130434783,0.8486956521739131,0.8502650233247372,"{'classifier__max_depth': 10, 'classifier__n_estimators': 200}"
XGBoost,0.85,0.8539130434782609,0.8552616347973425,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50, 'classifier__subsample': 1.0}"
