Model,Train Accuracy,Test Accuracy,F1 Score (Test),Best Params
Logistic Regression,0.8682608695652174,0.8626086956521739,0.862334393255378,{'classifier__C': 100}
Random Forest,1.0,0.888695652173913,0.8885490413468549,"{'classifier__max_depth': 30, 'classifier__n_estimators': 100}"
Support Vector Machine,0.8508695652173913,0.8521739130434782,0.8528758443827529,"{'classifier__C': 10, 'classifier__kernel': 'linear'}"
Decision Tree,0.9682608695652174,0.8591304347826086,0.8583942360103025,{'classifier__max_depth': 10}
